index_name,recall,throughput,latency,build time
raft_ivf_pq.nlist4096.pq_dim64.pq_bits5.ratio1.niter25,0.953145487,25301.02023,0.001637171,101.4967072
raft_ivf_pq.nlist4096.pq_dim64.pq_bits5.ratio1.niter25,0.953351896,24981.58735,0.001661053,101.4967072
raft_ivf_pq.nlist8192.pq_dim64.pq_bits5.ratio1.niter25,0.967898058,24584.04247,0.001676901,108.846754
raft_ivf_pq.nlist8192.pq_dim64.pq_bits5.ratio1.niter25,0.968131127,24011.08959,0.00174202,108.846754
raft_ivf_pq.nlist8192.pq_dim64.pq_bits5.ratio1.niter25,0.968233247,23925.7775,0.001724518,108.846754
raft_ivf_pq.nlist2048.pq_dim32.pq_bits8.ratio1.niter25,0.973580541,22606.9881,0.001818032,56.35925623
raft_ivf_pq.nlist2048.pq_dim32.pq_bits8.ratio1.niter25,0.973819409,22510.20783,0.001836929,56.35925623
raft_ivf_pq.nlist4096.pq_dim64.pq_bits5.ratio1.niter25,0.981850567,20584.23744,0.002001162,101.4967072
raft_ivf_pq.nlist4096.pq_dim64.pq_bits5.ratio1.niter25,0.981892966,18831.00093,0.002177521,101.4967072
raft_ivf_pq.nlist4096.pq_dim32.pq_bits8.ratio1.niter25,0.982567152,18818.43573,0.002179161,59.74712196
raft_ivf_pq.nlist4096.pq_dim32.pq_bits8.ratio1.niter25,0.982803265,18501.52467,0.002229644,59.74712196
raft_ivf_pq.nlist8192.pq_dim64.pq_bits6.ratio1.niter25,0.990758197,17926.10527,0.002265205,110.1168914
raft_ivf_pq.nlist4096.pq_dim32.pq_bits8.ratio1.niter25,0.993268555,14681.94631,0.00281401,59.74712196
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.996054987,11237.48011,0.001780909,102.8806902
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.996576807,9629.746846,0.004258287,103.979769
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.996605705,8964.694897,0.002232617,103.979769
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.996618421,8732.895761,0.004664782,103.979769
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.998088362,6439.763573,0.006268473,97.72087464
raft_ivf_pq.nlist2048.pq_dim64.pq_bits6.ratio1.niter25,0.998176606,6246.51651,0.003205269,99.51319729
raft_ivf_pq.nlist2048.pq_dim64.pq_bits6.ratio1.niter25,0.998233945,6232.239066,0.003247561,99.51319729
raft_ivf_pq.nlist2048.pq_dim64.pq_bits6.ratio1.niter25,0.998242718,6218.698508,0.006543881,99.51319729
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.998969626,6072.418772,0.006675227,100.217578
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.998985,5776.692368,0.00709084,100.217578
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.998997312,5427.476229,0.007459309,100.217578
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.999005319,5373.582772,0.003726225,100.217578
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.999008333,5155.927157,0.007836737,100.217578
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.999008671,4949.185592,0.004046579,100.217578
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.999803279,3508.199283,0.011835674,97.72087464
raft_ivf_pq.nlist8192.pq_dim32.pq_bits4.ratio1.niter25,0.2171345111,10280.31024,9.73E-05,57.34351721
raft_ivf_pq.nlist8192.pq_dim32.pq_bits4.ratio1.niter25,0.4727920902,10263.84394,9.74E-05,57.34351721
raft_ivf_pq.nlist8192.pq_dim32.pq_bits4.ratio1.niter25,0.4728136776,10230.31229,9.77E-05,57.34351721
raft_ivf_pq.nlist8192.pq_dim32.pq_bits5.ratio1.niter25,0.5293981677,10120.59335,9.88E-05,55.02650772
raft_ivf_pq.nlist8192.pq_dim32.pq_bits5.ratio1.niter25,0.530552026,10118.44615,9.88E-05,55.02650772
raft_ivf_pq.nlist8192.pq_dim32.pq_bits6.ratio1.niter25,0.5754619949,10111.4363,9.89E-05,57.07352203
raft_ivf_pq.nlist8192.pq_dim32.pq_bits6.ratio1.niter25,0.5756026659,10079.60053,9.92E-05,57.07352203
raft_ivf_pq.nlist8192.pq_dim64.pq_bits5.ratio1.niter25,0.618899667,9877.789251,0.0001012376548,108.846754
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.6309171255,9844.317033,0.0001015818502,66.04057743
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.6309413648,9804.347477,0.0001019959983,66.04057743
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.6310216628,9759.282693,0.0001024669643,66.04057743
raft_ivf_pq.nlist8192.pq_dim64.pq_bits6.ratio1.niter25,0.649443305,9759.068653,0.0001024692003,110.1168914
raft_ivf_pq.nlist8192.pq_dim64.pq_bits8.ratio1.niter25,0.6816414889,9177.150607,0.0001089666938,110.7228974
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.6937872955,8915.647489,0.0001121627892,102.8806902
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.6939859569,8762.09956,0.000114128353,102.8806902
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.7339387271,8461.494747,0.0001181829687,103.979769
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.7362640545,8388.817861,0.0001192067639,103.979769
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.7362902122,8366.261566,0.0001195281685,103.979769
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.7562734535,7693.844394,0.0001299745421,66.04057743
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.7563034148,7661.039211,0.000130531139,66.04057743
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.7563299663,7651.132176,0.0001307001517,66.04057743
raft_ivf_pq.nlist8192.pq_dim64.pq_bits6.ratio1.niter25,0.7931202495,7320.46452,0.0001366038501,110.1168914
raft_ivf_pq.nlist8192.pq_dim64.pq_bits6.ratio1.niter25,0.7932994527,7310.200235,0.0001367956746,110.1168914
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.8011104141,6839.92451,0.0001462010253,102.8806902
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.8011646418,6815.221994,0.0001467309437,102.8806902
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.8011773347,6807.182339,0.0001469042269,102.8806902
raft_ivf_pq.nlist8192.pq_dim64.pq_bits8.ratio1.niter25,0.8594417527,6790.478951,0.0001472657969,110.7228974
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.8741284816,6370.490897,0.00015697554,103.979769
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.8782014206,5621.753277,0.0001778811522,100.217578
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.8819441624,5620.86515,0.0001779093195,100.217578
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.8819588937,5616.255418,0.0001780552728,100.217578
raft_ivf_pq.nlist8192.pq_dim64.pq_bits8.ratio1.niter25,0.8847914349,5139.133559,0.0001945860587,110.7228974
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.8891827057,5126.821724,0.0001950533685,103.979769
raft_ivf_pq.nlist4096.pq_dim64.pq_bits8.ratio1.niter25,0.8894198736,4973.910028,0.0002010499374,103.979769
raft_ivf_pq.nlist2048.pq_dim64.pq_bits8.ratio1.niter25,0.8905344495,4422.37129,0.0002261239227,100.217578
raft_ivf_pq.nlist8192.pq_dim32.pq_bits5.ratio1.niter25,0.8910459645,3954.410431,0.0002528837828,55.02650772
raft_ivf_pq.nlist8192.pq_dim32.pq_bits5.ratio1.niter25,0.8917136659,3948.030552,0.0002532925383,55.02650772
raft_ivf_pq.nlist8192.pq_dim32.pq_bits6.ratio1.niter25,0.9149474066,3947.234266,0.0002533434926,57.07352203
raft_ivf_pq.nlist8192.pq_dim64.pq_bits4.ratio1.niter25,0.9150694444,3929.571858,0.000254482163,99.38017874
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.9255930319,3858.636884,0.0002591604666,66.04057743
raft_ivf_pq.nlist8192.pq_dim32.pq_bits8.ratio1.niter25,0.9257,3851.869043,0.0002596158704,66.04057743
raft_ivf_pq.nlist4096.pq_dim64.pq_bits4.ratio1.niter25,0.9392849203,3851.031684,0.000259672332,93.42300121
raft_ivf_pq.nlist4096.pq_dim32.pq_bits8.ratio1.niter25,0.9538025526,3809.162247,0.0002625264478,59.74712196
raft_ivf_pq.nlist4096.pq_dim64.pq_bits5.ratio1.niter25,0.9539401968,3782.127523,0.0002644032589,101.4967072
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.9547764071,3695.246013,0.0002706195729,102.8806902
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.9548758728,3679.97538,0.0002717427172,102.8806902
